city|stadt|madina|مدينة
country|land|balad|بلد
street|strasse|shari'|شارع
address|adresse|'unwan|عنوان
phone|telefon|hatif|هاتف
email|e-mail|barid elektroniy|بريد إلكتروني
job|beruf|mihna|مهنة
hospital|krankenhaus|mustashfa|مستشفى
doctor|arzt|tabib|طبيب
pharmacy|apotheke|saydaliyya|صيدلية
ticket|ticket|tathkira|تذكرة
train|zug|qitar|قطار
bus|bus|hafilah|حافلة
car|auto|sayyara|سيارة
airport|flughafen|matar|مطار
station|bahnhof|mahattah|محطة
left|links|yasar|يسار
right|rechts|yamin|يمين
open|offen|maftuh|مفتوح
closed|geschlossen|mughlaq|مغلق
price|preis|si'r|سعر
money|geld|mal|مال
cheap|guenstig|rakhis|رخيص
expensive|teuer|ghali|غالي
small|klein|saghir|صغير
big|gross|kabir|كبير
hot|heiss|har|حار
cold|kalt|barid|بارد
breakfast|fruehstueck|futur|فطور
lunch|mittagessen|ghada'|غداء
dinner|abendessen|asha'|عشاء
bread|brot|khubz|خبز
milk|milch|halib|حليب
tea|tee|shay|شاي
coffee|kaffee|qahwa|قهوة
meat|fleisch|lahm|لحم
fish|fisch|samak|سمك
vegetables|gemuese|khudar|خضار
fruit|obst|fawakih|فواكه
room|zimmer|ghurfa|غرفة
